"Mobile number not found.","لم يتم العثور على رقم الهاتف المحمول."
"OTP has expired or does not exist.","انتهت صلاحية OTP أو غير موجود."
"Invalid OTP.","OTP غير صالح."
"Phone number is required.","مطلوب رقم الهاتف."
"OTP sent successfully","تم إرسال OTP بنجاح"
"Phone number and OTP are required.","مطلوب رقم الهاتف و OTP."
"Customer not found.","لم يتم العثور على العميل."
"OTP verified successfully.","تم التحقق من OTP بنجاح."
"OTP sent successfully. Please check your WhatsApp.","تم إرسال OTP بنجاح. يرجى التحقق من WhatsApp الخاص بك."
"Invalid input data.","بيانات الإدخال غير صالحة."
"Mobile number already exists.","رقم الهاتف موجود بالفعل"
"Password is required.","مطلوب كلمة مرور."
"Password changes successfully.","تم تغيير كلمة المرور بنجاح."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","البريد الإلكتروني أو كلمة المرور غير صحيحة"
