"Seller List","Featured Sellers & Brands"
"القاهرة","Cairo"
"الجيزة","Giza"
"امبابة","Imbaba"
"cairo","Cairo"
"المستقبل لمواد البناء","Future Building Materials"
"الروضة","Al-Rawda"
"Cart Subtotal","Subtotal"
"Order Total","Total"
"Review & Payments","Payment"

"ابل","Apple"
"سامسونج","Samsung"
"شاومى","Xiaomi"
"ال جى","LG"
"سونى","Sony"
"كانون","Canon"
"ميديا تك","MediaTek"
"ويلسون","Wilson"
"هواوي","Huawei"
"فريش","Fresh"
"ايسر","Acer"
"ديل","Dell"
"لينوڤو","Lenovo"
"توشيبا","Toshiba"
"راف باور","RAVPower"
"كيس لوجيك","Case Logic"
"داهوا","Dahua"
"هيك فيجن","Hikvision"
"ويستيرن ديجيتال","Western Digital"
"نيتاك","Netac"
"كيوكسيا","KIOXIA"
"سان ديسك","SanDisk"
"كنجستون","Kingston"
"بادجي","Badgy"
"تونر تانك","Toner Tank"
"ايبسون","Epson"
"باناسونيك","Panasonic"
"اتش بي","HP"
