"License Key","License Key"
"Add new License Key","Add new License Key"
Save,Save
"Delete License","Delete License"
"Sync License","Sync License"
"New License","New License"
"Are you sure you want to do this?","Are you sure you want to do this?"
"License Information","License Information"
"Enter the license key which you got when you purchase an extension from www.vnecoms.com.","Enter the license key which you got when you purchase an extension from www.vnecoms.com."
Extension,Extension
" License Type"," License Type"
"Created At","Created At"
"Expiration date","Expiration date"
Status,Status
"Your current secure key is: %1","Your current secure key is: %1"
"This is the first time you use the license key. The secure key will be updated to the license after you click to save button. Let add your domains and click to save button to active the extension.","This is the first time you use the license key. The secure key will be updated to the license after you click to save button. Let add your domains and click to save button to active the extension."
"Your secure key is different with the registered secure key. The related extension(s) will not be acitvated.<br />Let login to your customer email account at VNECOMS.COM, edit your license key and update your new secure key.","Your secure key is different with the registered secure key. The related extension(s) will not be acitvated.<br />Let login to your customer email account at VNECOMS.COM, edit your license key and update your new secure key."
"Secure Key","Secure Key"
"Related Packages","Related Packages"
Domains,Domains
"Add Domain","Add Domain"
Reset,Reset
Vnecoms,Vnecoms
"This license no longer exists.","This license no longer exists."
"Your license has been deleted.","Your license has been deleted."
"License Info","License Info"
"View License","View License"
"Manage Licenses","Manage Licenses"
"The license is required.","The license is required."
"The license is already exist.","The license is already exist."
"You saved the license.","You saved the license."
"Please add your domains to complete activating the extension","Please add your domains to complete activating the extension"
"Your license is synced with our server.","Your license is synced with our server."
"Please enter a domain.","Please enter a domain."
"The extension: %1 is not activated. Please enter the license key and active it. %2","The extension: %1 is not activated. Please enter the license key and active it. %2"
"These extensions are not activated:%1.<br />Please enter the license key and active them. %2","These extensions are not activated:%1.<br />Please enter the license key and active them. %2"
"The license was not registered","The license was not registered"
"[102] Cannot retrieve license information this time. Please try again later","[102] Cannot retrieve license information this time. Please try again later"
"Cannot retrieve license information.","Cannot retrieve license information."
msg,msg
"[100] Cannot retrieve license information this time. Please try again later","[100] Cannot retrieve license information this time. Please try again later"
"[101] Folder permission error. Make sure these folders and their subfolders have write permissions: pub/static, pub/media","[101] Folder permission error. Make sure these folders and their subfolders have write permissions: pub/static, pub/media"
"[103] Cannot retrieve license information this time. Please try again later","[103] Cannot retrieve license information this time. Please try again later"
"[104] Cannot retrieve license information this time. Please try again later","[104] Cannot retrieve license information this time. Please try again later"
"[105] Cannot save license information this time. Please try again later","[105] Cannot save license information this time. Please try again later"
"Cannot save license information.","Cannot save license information."
"License information is not available.","License information is not available."
"Your current domain %1 is not registered with this license.","Your current domain %1 is not registered with this license."
Extension:,Extension:
"License Type:","License Type:"
"Registered Secure Key:","Registered Secure Key:"
"Current Secure Key:","Current Secure Key:"
"Your secure key is different with the registered secure key. The related extension(s) will not be acitvated.<br />Please contact us if you want to change your secure key","Your secure key is different with the registered secure key. The related extension(s) will not be acitvated.<br />Please contact us if you want to change your secure key"
Domain,Domain
"Domain format: %1 or %2 or %3 or %4. <br />Your current domain is %5<strong></strong>","Domain format: %1 or %2 or %3 or %4. <br />Your current domain is %5<strong></strong>"
Delete,Delete
"My Credit (%1)","My Credit (%1)"
"My Credit","My Credit"
"Other customers (%1)","Other customers (%1)"
"Created at","Created at"
Name,Name
Type,Type
Description,Description
Amount,Amount
Balance,Balance
"Store Credit (%1)","Store Credit (%1)"
"Refunded to Store Credit","Refunded to Store Credit"
"Store Credit","Store Credit"
"Add Credit Product","Add Credit Product"
"ALL GROUPS","ALL GROUPS"
"Add Price","Add Price"
"Credit Value","Credit Value"
"Manage Credit Accounts","Manage Credit Accounts"
"Credit Dashboard","Credit Dashboard"
"Manage Credit Products","Manage Credit Products"
"Manage Credit Transactions","Manage Credit Transactions"
"You have to login to use this action","You have to login to use this action"
"Max credit you can use: %1","Max credit you can use: %1"
"You do not have enough credit amount to do this action","You do not have enough credit amount to do this action"
"Customer Id is not valid","Customer Id is not valid"
"Cart %1 doesn't contain products","Cart %1 doesn't contain products"
"You need to login to use this action","You need to login to use this action"
"You can't apply the amount which is greater than your credit balance","You can't apply the amount which is greater than your credit balance"
"Could not apply credit","Could not apply credit"
"Could not remove credit","Could not remove credit"
"Credit Account is not set in %1 on line %2","Credit Account is not set in %1 on line %2"
"Admin Add Credit","Admin Add Credit"
"Amout is not set in %1 on line %2","Amout is not set in %1 on line %2"
"Admin add %1 credits to your credit account.","Admin add %1 credits to your credit account."
"Admin Subtract Credit","Admin Subtract Credit"
"Admin subtract %1 credits from your credit account.","Admin subtract %1 credits from your credit account."
"Buy Credit","Buy Credit"
"Buy %1 credits from store","Buy %1 credits from store"
"Order Refunded by Credit","Order Refunded by Credit"
"Order refunded #%1, Creditmemo #%2","Order refunded #%1, Creditmemo #%2"
"Refund Spent Credit","Refund Spent Credit"
"Refund spent credit(s) from cancelled order #%1","Refund spent credit(s) from cancelled order #%1"
"Spend Credit","Spend Credit"
"Spent credit on order #%1","Spent credit on order #%1"
"'From' value of Store Credit must be set '%1'","'From' value of Store Credit must be set '%1'"
"'To' value of Store Credit must be set '%1'","'To' value of Store Credit must be set '%1'"
"Store Credit Value must be set '%1'","Store Credit Value must be set '%1'"
"All store credit value and price must be set '%1'","All store credit value and price must be set '%1'"
"You need to choose options for your item.","You need to choose options for your item."
"Fixed value","Fixed value"
"Dropdown values","Dropdown values"
"Custom value","Custom value"
"Store Credit Value ","Store Credit Value "
"Store Credit Value","Store Credit Value"
"Credit Package Price","Credit Package Price"
From,From
To,To
"Use Default Value","Use Default Value"
Action,Action
"Delete Tier","Delete Tier"
"Total Credit in System","Total Credit in System"
"Total Spent Credit","Total Spent Credit"
"Total Sold Credit","Total Sold Credit"
"No. of customer with credit","No. of customer with credit"
"Top Customer Credit Balance","Top Customer Credit Balance"
"View All","View All"
"Credit Receive - Spend","Credit Receive - Spend"
"Last 24 Hours","Last 24 Hours"
"Last 7 Days","Last 7 Days"
"Current Month","Current Month"
YTD,YTD
2YTD,2YTD
"Last Transactions","Last Transactions"
"Credit Balance","Credit Balance"
"Add / Subtract Credit","Add / Subtract Credit"
