Quotes,Quotes
Continue,Continue
"New Quote","New Quote"
ID,ID
Email,Email
"First Name","First Name"
"Customer Information","Customer Information"
Store,Store
"Customer Id #","Customer Id #"
"Select Customer ...","Select Customer ..."
"Last Name","Last Name"
Phone,Phone
Company,Company
"VAT/Tax ID","VAT/Tax ID"
"Messages History","Messages History"
"Please select a customer","Please select a customer"
"Quote With Guest","Quote With Guest"
"Quote # %1 | %2","Quote # %1 | %2"
"Create New Quote for %1 in %2","Create New Quote for %1 in %2"
"Create New Quote in %1","Create New Quote in %1"
"Create New Quote for %1","Create New Quote for %1"
"Create New Quote for New Customer","Create New Quote for New Customer"
Tax/VAT,Tax/VAT
" [deleted]"," [deleted]"
"Items Quoted","Items Quoted"
Configure,Configure
"This product does not have any configurable options","This product does not have any configurable options"
"Please select products","Please select products"
"Add Selected Product(s) to Quote","Add Selected Product(s) to Quote"
"Please select a store","Please select a store"
Cancel,Cancel
"Are you sure you want to cancel this quote?","Are you sure you want to cancel this quote?"
Hold,Hold
Unhold,Unhold
Approve,Approve
"Save and send email","Save and send email"
"Save as draft","Save as draft"
"Are you sure you want to send an quote email to customer?","Are you sure you want to send an quote email to customer?"
"Send Email","Send Email"
hold,hold
unhold,unhold
"Quote # %1","Quote # %1"
"My Quotes","My Quotes"
"The post data is not valid","The post data is not valid"
"Can not add the message.","Can not add the message."
Quotation,Quotation
"This quote no longer exists.","This quote no longer exists."
"The quote is approved and sent back to customer.","The quote is approved and sent back to customer."
"There is problem occursed.","There is problem occursed."
"You canceled the quote.","You canceled the quote."
"You have not canceled the item.","You have not canceled the item."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
Quotations,Quotations
"We could not add a product to quote by the ID ""%1"".","We could not add a product to quote by the ID ""%1""."
"You created the quote.","You created the quote."
"Quote saving error: %1","Quote saving error: %1"
"You deleted the Quote.","You deleted the Quote."
"We can't find a Quote to delete.","We can't find a Quote to delete."
"Can't hold quote.","Can't hold quote."
"You put the quote on hold.","You put the quote on hold."
"You have not put the quote on hold.","You have not put the quote on hold."
"%1 quote(s) cannot be canceled.","%1 quote(s) cannot be canceled."
"You cannot cancel the quote(s).","You cannot cancel the quote(s)."
"We canceled %1 quote(s).","We canceled %1 quote(s)."
"%1 quote(s) cannot be deleted.","%1 quote(s) cannot be deleted."
"You cannot deleted the quote(s).","You cannot deleted the quote(s)."
"We deleted %1 quote(s).","We deleted %1 quote(s)."
"%1 quote(s) were not put on hold.","%1 quote(s) were not put on hold."
"No quote(s) were put on hold.","No quote(s) were put on hold."
"You have put %1 quote(s) on hold.","You have put %1 quote(s) on hold."
"%1 quote(s) were not released from on hold status.","%1 quote(s) were not released from on hold status."
"No quote(s) were released from on hold status.","No quote(s) were released from on hold status."
"%1 quote(s) have been released from on hold status.","%1 quote(s) have been released from on hold status."
"This Quote no longer exists.","This Quote no longer exists."
"You saved the Quote.","You saved the Quote."
