ID,ID
Title,Title
Identifier,Identifier
Status,Status
Disabled,Disabled
Enabled,Enabled
Configuration,Configuration
"Select Slider Type","Select Slider Type"
"Select Slider Mode","Select Slider Mode"
"Slider Direction","Slider Direction"
"Select Slider Template","Select Slider Template"
"Animation Effect","Animation Effect"
"Banner Speed","Banner Speed"
Autoplay,Autoplay
"Autoplay after  (ms), Empty value will disable autoplay","Autoplay after  (ms), Empty value will disable autoplay"
"Auto Height","Auto Height"
Yes,Yes
No,No
"Allow mobile touch","Allow mobile touch"
"Hide Pagination","Hide Pagination"
"Type of pagination","Type of pagination"
Bullets,Bullets
Fraction,Fraction
Progress,Progress
Custom,Custom
"Show Item Description","Show Item Description"
"Show Banner Title","Show Banner Title"
"Autoplay Mode","Autoplay Mode"
"Description Position","Description Position"
"Sort Order","Sort Order"
"Banner Position","Banner Position"
"New Bannner","New Bannner"
"Edit Banner '%1'","Edit Banner '%1'"
"Implement Code","Implement Code"
Upload,Upload
"Banner Items","Banner Items"
"Banner Information","Banner Information"
"Banner Title","Banner Title"
"Display Description","Display Description"
Description,Description
"Display From ","Display From "
"Display To ","Display To "
"Implementation Code","Implementation Code"
"New Banner","New Banner"
"Save Banner","Save Banner"
"Delete Banner","Delete Banner"
"Save and Continue Edit","Save and Continue Edit"
Preview,Preview
"Swatch Image","Swatch Image"
"[STORE VIEW]","[STORE VIEW]"
product[swatch_image],product[swatch_image]
"Base Image","Base Image"
product[image],product[image]
product[small_image],product[small_image]
product[thumbnail],product[thumbnail]
"Images (.gif, .jpg, .png)","Images (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Media (.avi, .flv, .swf)"
"All Files","All Files"
Banner,Banner
"Add New Banner","Add New Banner"
"You can't delete this banner.","You can't delete this banner."
"You deleted the banner.","You deleted the banner."
"We can't find a block to delete.","We can't find a block to delete."
"Manage Banners","Manage Banners"
"You can't edit this banner ","You can't edit this banner "
"This banner no longer exists.","This banner no longer exists."
"Edit Banner","Edit Banner"
Banners,Banners
"Manage Banner","Manage Banner"
"Please correct the data sent.","Please correct the data sent."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Banner has been saved.","Banner has been saved."
"Something went wrong while saving the banner.","Something went wrong while saving the banner."
"--------- Please choose slider type -------","--------- Please choose slider type -------"
"Special Slider","Special Slider"
"Pop up on Home page","Pop up on Home page"
"Note displayed on all pages","Note displayed on all pages"
"Unresponsive Slider","Unresponsive Slider"
"Slider Evolution Default","Slider Evolution Default"
"Slider Evolution Caborno","Slider Evolution Caborno"
"Slider Evolution Minimalist","Slider Evolution Minimalist"
"Slider Evolution Fresh","Slider Evolution Fresh"
FlexSlider,FlexSlider
Default,Default
"FlexSlider 2","FlexSlider 2"
"FlexSlider 3","FlexSlider 3"
"FlexSlider 4","FlexSlider 4"
"Swipe Default","Swipe Default"
"Swipe Responsive","Swipe Responsive"
Vertical,Vertical
Thumbnails,Thumbnails
"Swipe Parallax","Swipe Parallax"
"Auto content height","Auto content height"
"Free mode","Free mode"
"Swipe Right to left","Swipe Right to left"
"Pagination process","Pagination process"
"Lazy load template","Lazy load template"
"--Please choose effect--","--Please choose effect--"
Fade,Fade
Slide,Slide
Cube,Cube
Coverflow,Coverflow
Flip,Flip
"--------- Please choose slide mode ---------","--------- Please choose slide mode ---------"
"Flexslider Default","Flexslider Default"
"Slick Default","Slick Default"
"Swipe Freemode","Swipe Freemode"
"Swipe Lazyload ","Swipe Lazyload "
"Static Image","Static Image"
"Banner Slider","Banner Slider"
"--------- Please choose effect -------","--------- Please choose effect -------"
"No banners found","No banners found"
"The banner identifier must be changed.It can't same with others page identifier's.","The banner identifier must be changed.It can't same with others page identifier's."
"-------- Please choose slide type --------","-------- Please choose slide type --------"
"Slick Slider","Slick Slider"
"Swipe Slider","Swipe Slider"
"Swipe RTL","Swipe RTL"
Edit,Edit
Delete,Delete
"Delete ${ $.$data.title }","Delete ${ $.$data.title }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","Are you sure you wan't to delete a ${ $.$data.title } record?"
View,View
"Not found any item !","Not found any item !"
"Browse to find or drag image here","Browse to find or drag image here"
"Delete image","Delete image"
Hidden,Hidden
"Item Title","Item Title"
"Item Url","Item Url"
"Item Short Description","Item Short Description"
"Item Status","Item Status"
Enable,Enable
Disable,Disable
"Add Video","Add Video"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"Small Image","Small Image"
Thumbnail,Thumbnail
"Delete video","Delete video"
"Alt Text","Alt Text"
Role,Role
"Image Size","Image Size"
{size},{size}
"Image Resolution","Image Resolution"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","Hide from Product Page"
Title:,Title:
Uploaded:,Uploaded:
Uploader:,Uploader:
Duration:,Duration:
"Item Image Alt","Item Image Alt"
"From Date","From Date"
"M/d/yy h:mm a","M/d/yy h:mm a"
"To Date","To Date"
"Place code below in the Page or Block which you want to display this banner","Place code below in the Page or Block which you want to display this banner"
"You must save this banner first to see the implement code.","You must save this banner first to see the implement code."
"Browse Files...","Browse Files..."
"We could not detect a size.","We could not detect a size."
"We don't recognize or support this file extension type.","We don't recognize or support this file extension type."
"Additional Settings","Additional Settings"
"Item Detail","Item Detail"
"Insert Icon...","Insert Icon..."
"Insert Widget...","Insert Widget..."
Cancel,Cancel
Submit,Submit
