"Go to Vendor Page","Go to Vendor Page"
"Subscribe to RSS Feed","Subscribe to RSS Feed"
"Items (%1)","Items (%1)"
Root,Root
Delete,Delete
"Save Category","Save Category"
"Delete Category","Delete Category"
Reset,Reset
"New Subcategory","New Subcategory"
"New Root Category","New Root Category"
Save,Save
"Create Permanent Redirect for old URL","Create Permanent Redirect for old URL"
"WYSIWYG Editor","WYSIWYG Editor"
"Category Information","Category Information"
"Enable Category","Enable Category"
"Include In Menu","Include In Menu"
"Category Name","Category Name"
Content,Content
"Category Image","Category Image"
Description,Description
Design,Design
Layout,Layout
"Hide Product","Hide Product"
"Search Engine Optimization","Search Engine Optimization"
"URL Key","URL Key"
"Meta Title","Meta Title"
Keywords,Keywords
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"Meta Data","Meta Data"
ID,ID
Name,Name
SKU,SKU
Price,Price
Position,Position
"Category Products","Category Products"
"Add Subcategory","Add Subcategory"
"Add New Category","Add New Category"
"Create Category","Create Category"
"New Category","New Category"
"Manage Categories","Manage Categories"
Catalog,Catalog
"Something went wrong while trying to delete the category.","Something went wrong while trying to delete the category."
"You deleted the category.","You deleted the category."
Categories,Categories
"Category is not available for requested store.","Category is not available for requested store."
"There was a category move error. %1","There was a category move error. %1"
"There was a category move error.","There was a category move error."
"You moved the category","You moved the category"
"Attribute ""%1"" is required.","Attribute ""%1"" is required."
"You saved the category.","You saved the category."
"Something went wrong while saving the category.","Something went wrong while saving the category."
"Something went wrong while getting the image url.","Something went wrong while getting the image url."
"Sorry, but we can't find the new parent category you selected.","Sorry, but we can't find the new parent category you selected."
"Sorry, but we can't find the new category you selected.","Sorry, but we can't find the new category you selected."
"We can't move the category because the parent category name matches the child category name.","We can't move the category because the parent category name matches the child category name."
"Please enter name.","Please enter name."
"Cannot create sub category.","Cannot create sub category."
"Can't delete root category.","Can't delete root category."
"Could not save product ""%1"" with position %2 to category %3","Could not save product ""%1"" with position %2 to category %3"
"Category does not contain specified product","Category does not contain specified product"
"Could not save product ""%product"" with position %position to category %category","Could not save product ""%product"" with position %position to category %category"
"Operation do not allow to move a parent category to any of children category","Operation do not allow to move a parent category to any of children category"
"Could not move category","Could not move category"
"Could not save category: %1","Could not save category: %1"
"Cannot delete category with id %1","Cannot delete category with id %1"
"Please correct the category.","Please correct the category."
"Must be category model instance or its id.","Must be category model instance or its id."
Category,Category
"2 Columns with Left","2 Columns with Left"
"1 Column","1 Column"
"Vertical Menu","Vertical Menu"
"Horizontal Menu","Horizontal Menu"
,
"New Vendor Category","New Vendor Category"
"Vendor Categories","Vendor Categories"
[GLOBAL],[GLOBAL]
"If there are no custom parent categories, please use the default parent category.","If there are no custom parent categories, please use the default parent category."
item,item
items,items
"Now Shopping by","Now Shopping by"
Previous,Previous
Remove,Remove
"Remove This Item","Remove This Item"
"Shop By","Shop By"
"Clear All","Clear All"
"Shopping Options","Shopping Options"
"ID: %1","ID: %1"
"This operation can take a long time","This operation can take a long time"
"Warning message","Warning message"
Ok,Ok
Cancel,Cancel
"Are you sure you want to delete this category?","Are you sure you want to delete this category?"
"Collapse All","Collapse All"
"Expand All","Expand All"
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
None,None
Submit,Submit
"Delete image","Delete image"
