"-- Please Select --","-- Please Select --"
"All Pages","All Pages"
"All Product Types","All Product Types"
Container,Container
All,All
"Specific %1","Specific %1"
"Open Chooser","Open Chooser"
Apply,Apply
"Go to Vendor Page","Go to Vendor Page"
ID,ID
Type,Type
"Attribute Set","Attribute Set"
SKU,SKU
Product,Product
Choose...,Choose...
Close,Close
"Not Selected","Not Selected"
"Custom Layouts","Custom Layouts"
"Page Layouts","Page Layouts"
"Implementation Code","Implementation Code"
"Add Layout Update","Add Layout Update"
"Remove Layout Update","Remove Layout Update"
"Frontend Application Properties","Frontend Application Properties"
"Application Title","Application Title"
"Sort Order","Sort Order"
"Sort Order of application in the same container","Sort Order of application in the same container"
"Layout Updates","Layout Updates"
"Frontend Application Options","Frontend Application Options"
Settings,Settings
Continue,Continue
"Frontend Application","Frontend Application"
"Save and Continue Edit","Save and Continue Edit"
"Application ""%1""","Application ""%1"""
"New Application","New Application"
"Please specify a Application Type.","Please specify a Application Type."
"Manage Frontend Applications","Manage Frontend Applications"
"Add Application","Add Application"
Title,Title
Identifier,Identifier
Status,Status
Disabled,Disabled
Enabled,Enabled
"Save Block","Save Block"
"Delete Block","Delete Block"
"New Block","New Block"
"Edit Block '%1'","Edit Block '%1'"
"WYSIWYG Editor","WYSIWYG Editor"
"Block Configuration","Block Configuration"
Content,Content
"Block Information","Block Information"
Back,Back
"Delete Page","Delete Page"
"Are you sure you want to do this?","Are you sure you want to do this?"
Reset,Reset
"Save Page","Save Page"
"Content Heading","Content Heading"
"Page Layout","Page Layout"
Layout,Layout
Design,Design
"Page Information","Page Information"
"Page Title","Page Title"
"URL Key","URL Key"
"Relative to Web Site Base URL","Relative to Web Site Base URL"
"Page Status","Page Status"
"Meta Data","Meta Data"
Keywords,Keywords
"Meta Keywords","Meta Keywords"
Description,Description
"Meta Description","Meta Description"
"New Page","New Page"
"Edit Page '%1'","Edit Page '%1'"
Preview,Preview
"Store View","Store View"
Created,Created
Modified,Modified
Action,Action
"Manage Pages","Manage Pages"
"Add New Page","Add New Page"
"Images (%1)","Images (%1)"
"Media Storage","Media Storage"
"Create Folder...","Create Folder..."
"Delete Folder","Delete Folder"
"Delete File","Delete File"
"Insert File","Insert File"
"New Folder Name:","New Folder Name:"
"Are you sure you want to delete this folder?","Are you sure you want to delete this folder?"
"Are you sure you want to delete this file?","Are you sure you want to delete this file?"
"Vendor Root","Vendor Root"
"$vendorId Root","$vendorId Root"
"You can't delete this App.","You can't delete this App."
"The CMS Application has been deleted.","The CMS Application has been deleted."
"New Frontend Application","New Frontend Application"
"Frontend Applications","Frontend Applications"
"CMS Frontend Applications","CMS Frontend Applications"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"The application has been saved.","The application has been saved."
CMS,CMS
"You can't access this App.","You can't access this App."
"Please specify a correct application.","Please specify a correct application."
"You can't delete this Block.","You can't delete this Block."
"You deleted the block.","You deleted the block."
"We can't find a block to delete.","We can't find a block to delete."
"Manage Blocks","Manage Blocks"
"This block no longer exists.","This block no longer exists."
"You can't access this Block.","You can't access this Block."
Blocks,Blocks
"Vendor CMS","Vendor CMS"
"Please correct the data sent.","Please correct the data sent."
"You saved the block.","You saved the block."
"Something went wrong while saving the block.","Something went wrong while saving the block."
"You can't delete this Page.","You can't delete this Page."
"The page has been deleted.","The page has been deleted."
"We can't find a page to delete.","We can't find a page to delete."
"This page no longer exists.","This page no longer exists."
"You can't access this Page.","You can't access this Page."
"Edit Page","Edit Page"
Pages,Pages
"Something went wrong while saving the page.","Something went wrong while saving the page."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"To apply changes you should fill in hidden required ""%1"" field","To apply changes you should fill in hidden required ""%1"" field"
"You saved the page.","You saved the page."
"The directory %1 is not writable by server.","The directory %1 is not writable by server."
"Specified Page","Specified Page"
"We cannot create the application because it is missing required information.","We cannot create the application because it is missing required information."
"Insert Block...","Insert Block..."
"Make sure that static block content does not reference the block itself.","Make sure that static block content does not reference the block itself."
%1,%1
"Select Blocks","Select Blocks"
"CMS Block with id ""%1"" does not exist.","CMS Block with id ""%1"" does not exist."
"-- Please select a Page --","-- Please select a Page --"
"You can't delete this page.","You can't delete this page."
"This identifier is reserved for ""CMS 404 Not Found Page"" in configuration.","This identifier is reserved for ""CMS 404 Not Found Page"" in configuration."
"This identifier is reserved for ""CMS Home Page"" in configuration.","This identifier is reserved for ""CMS Home Page"" in configuration."
"Could not save the page: %1","Could not save the page: %1"
"CMS Page with id ""%1"" does not exist.","CMS Page with id ""%1"" does not exist."
"Could not delete the page: %1","Could not delete the page: %1"
"The block identifier must be changed.It can't same with others page identifier's.","The block identifier must be changed.It can't same with others page identifier's."
"The page URL key contains capital letters or disallowed symbols.","The page URL key contains capital letters or disallowed symbols."
"The page URL key cannot be made of only numbers.","The page URL key cannot be made of only numbers."
"The page identifier must be changed.It can't same with others page identifier's.","The page identifier must be changed.It can't same with others page identifier's."
"Please choose a condition to add.","Please choose a condition to add."
"Conditions Combination","Conditions Combination"
"Product Attribute","Product Attribute"
Add,Add
Remove,Remove
"Insert Vendors Variable ...","Insert Vendors Variable ..."
"We can't delete root directory %1 right now.","We can't delete root directory %1 right now."
"Directory %1 is not under storage root path.","Directory %1 is not under storage root path."
"Please rename the folder using only letters, numbers, underscores and dashes.","Please rename the folder using only letters, numbers, underscores and dashes."
"We found a directory with the same name. Please try another folder name.","We found a directory with the same name. Please try another folder name."
"We cannot create a new directory.","We cannot create a new directory."
"We cannot delete directory %1.","We cannot delete directory %1."
Edit,Edit
Delete,Delete
"Delete ${ $.$data.title }","Delete ${ $.$data.title }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","Are you sure you wan't to delete a ${ $.$data.title } record?"
"Delete ""${ $.$data.title }""","Delete ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Are you sure you wan't to delete a ""${ $.$data.title }"" record?"
View,View
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"New Products","New Products"
Availability,Availability
"Toggle Nav","Toggle Nav"
"Welcome, %1!","Welcome, %1!"
BLOCK,BLOCK
"Implementation code","Implementation code"
"You need to save this app before you can see the implementation code.","You need to save this app before you can see the implementation code."
Page,Page
px.,px.
"No files found","No files found"
"Browse Files...","Browse Files..."
"We could not detect a size.","We could not detect a size."
"Collapse All","Collapse All"
"Expand All","Expand All"
Cancel,Cancel
Submit,Submit
"Insert Static Block...","Insert Static Block..."
"Are you sure you want to delete this item ?","Are you sure you want to delete this item ?"
"This won't take long . . .","This won't take long . . ."
"Insert Variable...","Insert Variable..."
