Back,Back
Save,Save
"Select and Sell","Select and Sell"
Catalog,Catalog
"Select And Sell","Select And Sell"
"This product no longer exists.","This product no longer exists."
"Default Values","Default Values"
"Manage Products","Manage Products"
"Unable to save product","Unable to save product"
"You saved the product.","You saved the product."
"SKU for product %1 has been changed to %2.","SKU for product %1 has been changed to %2."
"The image cannot be removed as it has been assigned to the other image role","The image cannot be removed as it has been assigned to the other image role"
No,No
Yes,Yes
Preview,Preview
"Sell This Product","Sell This Product"
Loading...,Loading...
"-- Select Country --","-- Select Country --"
"Add to Cart","Add to Cart"
"%1 Sales","%1 Sales"
"Joined since %1","Joined since %1"
"Regular Price","Regular Price"
"Sold by %1 other sellers","Sold by %1 other sellers"
"Sold by %1 other seller","Sold by %1 other seller"
Country:,Country:
"Collapse the list","Collapse the list"
"View all %1 sellers","View all %1 sellers"
"Go to Details Page","Go to Details Page"
"Redirect to main product", "Redirect to main product"
"Product will always redirect to main product.", "Product will always redirect to main product."
