"Low stock","Low stock"
"Products Ordered","Products Ordered"
"Today: %1","Today: %1"
"Yesterday: %1","Yesterday: %1"
"This week (Sun - Today): %1","This week (Sun - Today): %1"
"This week (Sun - Today): %1 - %2","This week (Sun - Today): %1 - %2"
"This week (Mon - Today): %1","This week (Mon - Today): %1"
"This week (Mon - Today): %1 - %2","This week (Mon - Today): %1 - %2"
"Last 7 days: %1 - %2","Last 7 days: %1 - %2"
"Last week (Sun - Sat): %1 - %2","Last week (Sun - Sat): %1 - %2"
"Last week (Mon - Sun): %1 - %2","Last week (Mon - Sun): %1 - %2"
"This month: %1 - %2","This month: %1 - %2"
"Last 30 days: %1 - %2","Last 30 days: %1 - %2"
"Last month: %1 - %2","Last month: %1 - %2"
"All time: %1 - %2","All time: %1 - %2"
Today,Today
Yesterday,Yesterday
"This week (Sun - Today)","This week (Sun - Today)"
"This week (Mon - Today)","This week (Mon - Today)"
"Last 7 days","Last 7 days"
"Last week (Sun - Sat)","Last week (Sun - Sat)"
"Last week (Mon - Sun)","Last week (Mon - Sun)"
"This month","This month"
"Last 30 days","Last 30 days"
"Last month","Last month"
"All time","All time"
"Vendor Data","Vendor Data"
Reports,Reports
"Low Stock Report","Low Stock Report"
"Ordered Products Report","Ordered Products Report"
"Sales by Day of Week","Sales by Day of Week"
"Sales by Hour","Sales by Hour"
"Sales Reports","Sales Reports"
"Sales by Month of Year","Sales by Month of Year"
Sunday,Sunday
Monday,Monday
Tuesday,Tuesday
Wednesday,Wednesday
Thursday,Thursday
Friday,Friday
Staturday,Staturday
"0:00 - 0:59","0:00 - 0:59"
"Created At","Created At"
"Updated At","Updated At"
Hour,Hour
Day,Day
Week,Week
Month,Month
Quarter,Quarter
Year,Year
From,From
To,To
"Show By","Show By"
"Select Date","Select Date"
Custom,Custom
"Custom: %1 - %2","Custom: %1 - %2"
Apply,Apply
"Download CSV","Download CSV"
"Process Orders","Process Orders"
"Select Orders By","Select Orders By"
"Vendors Report","Vendors Report"
"Can Use Report","Can Use Report"
Sales,Sales
Overview,Overview
"by Month of Year","by Month of Year"
"by Day of Week","by Day of Week"
"by Hour","by Hour"
Products,Products
Ordered,Ordered
"Low Stock","Low Stock"
CSV,CSV
"Excel XML","Excel XML"
Product,Product
SKU,SKU
"Stock Quantity","Stock Quantity"
"Ordered Quantity","Ordered Quantity"
"We can't find records for this period.","We can't find records for this period."
Interval,Interval
Total,Total
"Pie Chart","Pie Chart"
"3D Pie Chart","3D Pie Chart"
"Donut Chart","Donut Chart"
"Column Chart","Column Chart"
"Bar Chart","Bar Chart"
Time,Time
"Number of Orders","Number of Orders"
"Items Ordered","Items Ordered"
Period,Period
Subtotal,Subtotal
Shipping,Shipping
Discount,Discount
"Grand Total","Grand Total"
"Total Paid","Total Paid"
"Total Refunded","Total Refunded"
"Area Chart","Area Chart"
"Line Chart","Line Chart"
