"Go to Vendor Page","Go to Vendor Page"
Relevance,Relevance
Grid,Grid
List,List
"Minimum Search query length is %1","Minimum Search query length is %1"
"%1 - Search results for: '%2'","%1 - Search results for: '%2'"
"Your search query can't be longer than %1, so we shortened your query.","Your search query can't be longer than %1, so we shortened your query."
Search,Search
"Search %1 products here...","Search %1 products here..."
"Your search returned no results.","Your search returned no results."
Back,Back
