"Import Rate","Import Rate"
File,File
"If you use the importing tool, all the old data will be erased and replaced by new data","If you use the importing tool, all the old data will be erased and replaced by new data"
"Rate Information","Rate Information"
State,State
Country,Country
"Zip/Post Code","Zip/Post Code"
"Condition Name","Condition Name"
"Condition Value From","Condition Value From"
"Condition Value To","Condition Value To"
Price,Price
"Delivery Type","Delivery Type"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz'","'*' - matches any; 'xyz*' - matches any that begins on 'xyz'"
"Save Rate","Save Rate"
"Delete Rate","Delete Rate"
"Save and Continue Edit","Save and Continue Edit"
"This Rate no longer exists.","This Rate no longer exists."
"You deleted the rate.","You deleted the rate."
"We can't find a rate to delete.","We can't find a rate to delete."
"Edit Rate","Edit Rate"
"New Rate","New Rate"
"Shipping Table Rates","Shipping Table Rates"
"Important Note: Only one Condition is applied for the table rate. To know and choose the condition check the <a href=""%1"">configuration</a>","Important Note: Only one Condition is applied for the table rate. To know and choose the condition check the <a href=""%1"">configuration</a>"
"Manage Shipping Rates","Manage Shipping Rates"
"Please correct the data sent.","Please correct the data sent."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"You saved this rate.","You saved this rate."
"You imported this file.","You imported this file."
Shipping,Shipping
"Table Rate","Table Rate"
"Invalid Table Rates File Format","Invalid Table Rates File Format"
"An error occurred while import table rates.","An error occurred while import table rates."
"File has not been imported. See the following list of errors: %1","File has not been imported. See the following list of errors: %1"
"Invalid Table Rates format in the Row #%s","Invalid Table Rates format in the Row #%s"
"Invalid Country ""%1"" in the Row #%2.","Invalid Country ""%1"" in the Row #%2."
"Invalid Region/State ""%1"" in the Row #%2.","Invalid Region/State ""%1"" in the Row #%2."
"Invalid ""%1"" in the Row #%2.","Invalid ""%1"" in the Row #%2."
"Invalid""%1"" in the Row #%2.","Invalid""%1"" in the Row #%2."
"Invalid Shipping Price ""%1"" in the Row #%2.","Invalid Shipping Price ""%1"" in the Row #%2."
"Duplicate Row #%1 (Country ""%2","Duplicate Row #%1 (Country ""%2"
"Duplicate Row","Duplicate Row"
"Weight vs. Destination","Weight vs. Destination"
"Price vs. Destination","Price vs. Destination"
"# of Items vs. Destination","# of Items vs. Destination"
"Please enter vendor id.","Please enter vendor id."
"Please enter region.","Please enter region."
"Please enter country.","Please enter country."
"Please enter zip code","Please enter zip code"
"Reponse with id ""%1"" does not exist.","Reponse with id ""%1"" does not exist."
Edit,Edit
